id	settlement_option	captive_option_outcome	settlement_type	acting_army_faction_effect_bundle	acting_army_faction_effect_bundle_turns	target_settlement_faction_effect_bundle	target_settlement_faction_effect_bundle_turns	group	acting_army_effect_bundle	acting_army_effect_bundle_turns	tooltip	icon	base_loot	building_loot_mod	resource_transaction	uses_small_ui_template	sort_order_override	disable_gaining_action_points_for_a_turn	required_resources	resource_loot_multiplier	required_tag	required_diplomatic_stance
#culture_settlement_occupation_options_tables;2;db/culture_settlement_occupation_options_tables/zzz_cbfm_unique_raze_icons_data__																						
1598549406	occupation_decision_raze_without_occupy	kill		wh2_dlc16_pooled_resource_world_roots_health_razed_dummy	1		0	wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border		0	Clear Heathland||All buildings are destroyed and the settlement is razed. This region is part of the ancient Heathland of a nearby Magical Forest. While razed, it will contribute to the Forest's health.	wh_dlc05_wef_wood_elves_raze	500.0000	0.6000		false	-1	true		0.0000		
441	occupation_decision_raze_without_occupy	kill			0		0	wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy		0	Raze||All buildings are destroyed and the settlement is torched. The previous owners will like you a lot less.	wh_dlc05_wef_wood_elves_raze	100.0000	2.0000		false	-1	true		0.0000		
367	occupation_decision_raze_without_occupy	kill			0		0	wh_main_occupation_decision_bretonnia_raze		0	Raze||All buildings are destroyed and the settlement is torched.\n\nAlthough they are our enemies, we belong to the same race. To destroy their settlements would be villainy indeed!	wh_main_brt_bretonnia_raze	100.0000	0.2000	wh3_main_chivalry_raze_human	false	-1	true		0.0000		
404	occupation_decision_raze_without_occupy	kill			0		0	wh_main_occupation_decision_bretonnia_raze_enemy		0	Raze||All buildings are destroyed and the settlement is torched. \n\nPurging the land of evil is a great thing, both for Bretonnia and indeed the wider world.	wh_main_brt_bretonnia_raze	100.0000	0.2000	wh3_main_chivalry_raze_enemy	false	-1	true		0.0000		
408	occupation_decision_raze_without_occupy	kill			0		0	wh_main_occupation_decision_bretonnia_raze_neutrals		0	Raze||All buildings are destroyed and the settlement is torched.\n\nPurging the land of evil is a great thing, both for Bretonnia and indeed the wider world.	wh_main_brt_bretonnia_raze	100.0000	0.2000		false	-1	true		0.0000		
559770731	occupation_decision_raze_without_occupy	kill			0		0	wh2_dlc09_sc_tmb_tomb_kings_occupation_decision_raze_without_occupy		0	Raze||All buildings are destroyed and the settlement is torched. The previous owners will like you a lot less.	wh2_dlc09_tmb_tomb_kings_raze	100.0000	0.2000		false	-1	true		0.0000		
1032	occupation_decision_raze_without_occupy	kill			0		0	wh2_main_sc_def_dark_elves_occupation_decision_raze_without_occupy		0	Raze||All buildings are destroyed and the settlement is torched. The previous owners will like you a lot less.	wh2_main_def_dark_elves_raze	100.0000	0.2000		false	-1	true		0.0000		
1070	occupation_decision_raze_without_occupy	kill			0		0	wh2_main_sc_hef_high_elves_occupation_decision_raze_without_occupy		0	Raze||All buildings are destroyed and the settlement is torched. The previous owners will like you a lot less.	wh2_main_hef_high_elves_raze	100.0000	0.2000		false	-1	true		0.0000		
1110	occupation_decision_raze_without_occupy	kill			0		0	wh2_main_sc_lzd_lizardmen_occupation_decision_raze_without_occupy		0	Raze||All buildings are destroyed and the settlement is torched. The previous owners will like you a lot less.	wh2_main_lzd_lizardmen_raze	100.0000	0.2000		false	-1	true		0.0000		
145887959	occupation_decision_raze_without_occupy	none			0		0	wh2_dlc15_occupation_decision_eltharion_vs_greenskins	wh2_dlc15_bundle_eltharion_greenskins_purge	3	Raze||All buildings are destroyed and the settlement is torched as retribution for Greenskin crimes. Recovered loot and materials are shipped back to secure Tor Yvresse.	wh2_main_hef_high_elves_raze	120.0000	0.3000	wh2_dlc15_eltharion_raze_greenskins	false	-1	true		0.0000		
1148	occupation_decision_raze_without_occupy	kill			0		0	wh2_main_sc_skv_skaven_occupation_decision_raze_without_occupy		0	Raze||All buildings are destroyed and the settlement is torched. The previous owners will like you a lot less.	wh2_main_skv_skaven_raze	100.0000	0.2000		false	-1	true		0.0000		
361127595	occupation_decision_raze_without_occupy	kill			0		0	wh2_main_sc_skv_skaven_occupation_decision_raze_without_occupy_clan_moulder		0	Raze||All buildings are destroyed and the settlement is torched.	wh2_main_skv_skaven_raze	100.0000	0.2000	wh2_dlc16_clan_moulder_raze	false	-1	true		0.0000		
202589444	occupation_decision_raze_without_occupy	kill		wh2_twa03_bundle_rakarth_occupation_dark_elves	0		0	wh2_twa03_rakarth_occupation_decision_dark_elves		0	Raze||All buildings are destroyed and the settlement is torched.	wh2_main_def_dark_elves_raze	100.0000	0.2000		false	-1	true		0.0000		
1466869363	occupation_decision_raze_without_occupy	kill		wh2_twa03_bundle_rakarth_occupation_greenskins	0		0	wh2_twa03_rakarth_occupation_decision_greenskins		0	Raze||All buildings are destroyed and the settlement is torched.	wh2_main_def_dark_elves_raze	100.0000	0.2000		false	-1	true		0.0000		
1137941435	occupation_decision_raze_without_occupy	kill		wh2_twa03_bundle_rakarth_occupation_high_elves	0		0	wh2_twa03_rakarth_occupation_decision_high_elves		0	Raze||All buildings are destroyed and the settlement is torched.	wh2_main_def_dark_elves_raze	100.0000	0.2000		false	-1	true		0.0000		
1790090163	occupation_decision_raze_without_occupy	kill		wh2_twa03_bundle_rakarth_occupation_kislev	0		0	wh2_twa03_rakarth_occupation_decision_kislev		0	Raze||All buildings are destroyed and the settlement is torched.	wh2_main_def_dark_elves_raze	100.0000	0.2000		false	-1	true		0.0000		
891798250	occupation_decision_raze_without_occupy	kill		wh2_twa03_bundle_rakarth_occupation_lizardmen	0		0	wh2_twa03_rakarth_occupation_decision_lizardmen		0	Raze||All buildings are destroyed and the settlement is torched.	wh2_main_def_dark_elves_raze	100.0000	0.2000		false	-1	true		0.0000		
1980885647	occupation_decision_raze_without_occupy	kill		wh2_twa03_bundle_rakarth_occupation_norscans	0		0	wh2_twa03_rakarth_occupation_decision_norscans		0	Raze||All buildings are destroyed and the settlement is torched.	wh2_main_def_dark_elves_raze	100.0000	0.2000		false	-1	true		0.0000		
1269523315	occupation_decision_raze_without_occupy	kill		wh2_twa03_bundle_rakarth_occupation_ogres	0		0	wh2_twa03_rakarth_occupation_decision_ogres		0	Raze||All buildings are destroyed and the settlement is torched.	wh2_main_def_dark_elves_raze	100.0000	0.2000		false	-1	true		0.0000		
1597900073	occupation_decision_raze_without_occupy	kill		wh2_twa03_bundle_rakarth_occupation_warriors_of_chaos	0		0	wh2_twa03_rakarth_occupation_decision_warriors_of_chaos		0	Raze||All buildings are destroyed and the settlement is torched.	wh2_main_def_dark_elves_raze	100.0000	0.2000		false	-1	true		0.0000		
1769740993	occupation_decision_raze_without_occupy	kill		wh2_twa03_bundle_rakarth_occupation_wood_elves	0		0	wh2_twa03_rakarth_occupation_decision_wood_elves		0	Raze||All buildings are destroyed and the settlement is torched.	wh2_main_def_dark_elves_raze	100.0000	0.2000		false	-1	true		0.0000		
1172	occupation_decision_raze_without_occupy	kill			0		0	wh2_main_sc_bst_beastmen_occupation_decision_raze_without_occupy	wh_dlc17_bundle_horde_raze_full	1	Loot & Raze||Revel in the destruction and take everything you can!	wh_dlc03_bst_beastmen_raze_b	100.0000	1.0000		false	-1	false		0.0000		
411	occupation_decision_raze_without_occupy	kill			0		0	wh2_main_sc_bst_beastmen_occupation_decision_raze_without_occupy	wh_dlc03_bundle_horde_raze	1	Raze & Advance||Take only the prize pieces, then advance forwards!	wh_dlc03_bst_beastmen_raze_a	20.0000	0.2000		false	-1	false		0.0000		
